Array Size,% Swapped,QuickSort Time (milliseconds),HeapSort Time (milliseconds)
1024,0,0.32,0.41
1024,0.05,0.14,0.12
1024,0.1,0.12,0.1
1024,0.15,0.09,0.13
1024,0.2,0.08,0.15
1024,0.25,0.08,0.15
1024,0.3,0.13,0.1
1024,0.35,0.1,0.15
1024,0.4,0.12,0.09
1024,0.45,0.12,0.1
1024,0.5,0.12,0.1
1024,0.55,0.11,0.14
1024,0.6,0.08,0.14
1024,0.65,0.09,0.15
1024,0.7,0.12,0.12
1024,0.75,0.12,0.12
1024,0.8,0.07,0.17
1024,0.85,0.11,0.14
1024,0.9,0.08,0.14
1024,0.95,0.12,0.12
1024,1,0.12,0.1
2048,0,0.23,0.22
2048,0.05,0.21,0.24
2048,0.1,0.16,0.31
2048,0.15,0.04,0.46
2048,0.2,0.27,0.22
2048,0.25,0.26,0.19
2048,0.3,0.28,0.18
2048,0.35,0.21,0.27
2048,0.4,0.26,0.26
2048,0.45,0.22,0.3
2048,0.5,0.23,0.28
2048,0.55,0.21,0.26
2048,0.6,0.26,0.26
2048,0.65,0.21,0.27
2048,0.7,0.23,0.3
2048,0.75,0.25,0.27
2048,0.8,0.21,0.26
2048,0.85,0.22,0.33
2048,0.9,0.26,0.24
2048,0.95,0.24,0.27
2048,1,0.24,0.28
4096,0,0.52,0.43
4096,0.05,0.48,0.48
4096,0.1,0.62,0.34
4096,0.15,0.59,0.42
4096,0.2,0.46,0.57
4096,0.25,0.49,0.51
4096,0.3,0.46,0.61
4096,0.35,0.54,0.56
4096,0.4,0.46,0.6
4096,0.45,0.46,0.6
4096,0.5,0.52,0.53
4096,0.55,0.42,0.62
4096,0.6,0.45,0.63
4096,0.65,0.42,0.62
4096,0.7,0.48,0.6
4096,0.75,0.47,0.64
4096,0.8,0.47,0.59
4096,0.85,0.42,0.65
4096,0.9,0.48,0.62
4096,0.95,0.47,0.63
4096,1,0.5,0.64
8192,0,1,1.04
8192,0.05,1.05,1.12
8192,0.1,0.94,1.17
8192,0.15,0.93,1.2
8192,0.2,1,1.23
8192,0.25,0.97,1.29
8192,0.3,0.98,1.22
8192,0.35,1.01,1.26
8192,0.4,1.01,1.28
8192,0.45,0.91,1.31
8192,0.5,0.98,1.36
8192,0.55,1,1.32
8192,0.6,1,1.37
8192,0.65,1.02,1.32
8192,0.7,1,1.29
8192,0.75,0.97,1.39
8192,0.8,0.99,1.34
8192,0.85,1.09,1.54
8192,0.9,1.03,1.46
8192,0.95,1.04,1.59
8192,1,1.06,1.41
16384,0,2.09,2.24
16384,0.05,2.08,2.39
16384,0.1,2.11,2.52
16384,0.15,2.19,2.62
16384,0.2,2.13,2.76
16384,0.25,2.15,2.83
16384,0.3,2.17,2.79
16384,0.35,2.12,2.93
16384,0.4,2.16,2.92
16384,0.45,2.21,3.03
16384,0.5,2.23,3.14
16384,0.55,2.16,3.03
16384,0.6,2.18,3.13
16384,0.65,2.22,3.18
16384,0.7,2.16,3.21
16384,0.75,2.23,3.25
16384,0.8,2.18,3.26
16384,0.85,2.24,3.22
16384,0.9,2.14,3.4
16384,0.95,2.19,3.35
16384,1,2.13,3.36
32768,0,4.45,4.69
32768,0.05,4.53,5.01
32768,0.1,4.45,5.5
32768,0.15,4.44,5.73
32768,0.2,4.54,6.01
32768,0.25,4.63,6.26
32768,0.3,4.51,6.46
32768,0.35,4.65,6.63
32768,0.4,4.69,6.8
32768,0.45,4.71,7
32768,0.5,4.64,7.09
32768,0.55,4.76,7.23
32768,0.6,4.69,7.31
32768,0.65,4.8,7.38
32768,0.7,4.76,7.39
32768,0.75,4.82,7.57
32768,0.8,4.84,7.64
32768,0.85,4.84,7.68
32768,0.9,4.83,7.47
32768,0.95,4.79,7.84
32768,1,4.84,7.75
65536,0,9.58,10.01
65536,0.05,9.8,11.11
65536,0.1,9.9,12.11
65536,0.15,9.87,12.97
65536,0.2,9.99,13.72
65536,0.25,10.15,14.35
65536,0.3,10.24,14.97
65536,0.35,10.08,15.16
65536,0.4,10.47,15.89
65536,0.45,10.34,16.11
65536,0.5,10.52,16.48
65536,0.55,10.6,16.98
65536,0.6,10.57,16.87
65536,0.65,10.59,16.98
65536,0.7,10.58,17.01
65536,0.75,10.59,17.28
65536,0.8,10.67,17.28
65536,0.85,10.7,17.73
65536,0.9,10.75,17.61
65536,0.95,10.83,17.54
65536,1,10.78,17.84
